id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
16;ARECACEAE;Astrocaryum;Astrocaryum standleyanum;L.H.Bailey;Astrocaryum standleyanum var. calimense Dugand;Galeano & Bernal 1987, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 491 (COL);;Pacífico;0 m;200 m;Antioquia, Cauca, Chocó, Nariño, Valle;E Costa Rica a NO Ecuador
17;ARECACEAE;Astrocaryum;Astrocaryum triandrum;Galeano et al.;;Galeano et al. 1988, Galeano & Bernal 2005, Galeano & Bernal 2010;;Arbusto, Árbol, Palma solitaria;Nativa;En Peligro;"Bernal 1063 (HT: COL; IT: AAU, FAUC, HUA, K, NY)";Tipo de Colombia;Valle del Magdalena;160 m;500 m;Antioquia, Boyacá, Caldas, Santander;Magdalena medio
18;ARECACEAE;Astrocaryum;Astrocaryum urostachys;Burret;Astrocaryum murumuru var. urostachys (Burret) A.J.Hend.;Kahn & Millán 1992, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Cuatrecasas 10775 (COL);;Amazonia;100 m;500 m;Putumayo;Colombia, Ecuador, Perú
19;ARECACEAE;Attalea;Attalea butyracea;(L.f.) Wess.Boer;Scheelea butyracea (L.f.) H.Wendl., Scheelea excelsa H.Karst., Scheelea humboldtiana (Spruce) Burret;Henderson et al. 1995, Glassman 1999, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 397 (COL, HUA);Tipo de Colombia;Amazonia, Llanura del Caribe, Orinoquia, Valle del Cauca, Valle del Magdalena;0 m;1000 m;Amazonas, Antioquia, Arauca, Atlántico, Bolívar, Boyacá, Caldas, Caquetá, Casanare, Cesar, Córdoba, Cundinamarca, Guainía, La Guajira, Guaviare, Huila, Magdalena, Meta, Norte de Santander, Putumayo, Quindío, Risaralda, Santander, Sucre, Tolima, Valle, Vaupés, Vichada;México a Brasil y Bolivia
20;ARECACEAE;Attalea;Attalea cohune;Mart.;Orbignya cohune (Mart.) Standl.;Galeano & Bernal 2002, Galeano & Bernal 2005, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;En Peligro;Bernal 2793 (COL, FAUC);;Valle del Magdalena;150 m;400 m;Antioquia, Boyacá, Caldas, Santander;"México a Nicaragua; Colombia"
21;ARECACEAE;Attalea;Attalea colenda;(O.F.Cook) Balslev & A.J.Hend.;Ynesa colenda O.F.Cook;Henderson et al. 1995, Glassman 1999, Galeano & Bernal 2005;;Árbol, Palma solitaria;Nativa;En Peligro;Bernal 2502 (COL);;Pacífico;0 m;200 m;Nariño;SO Colombia a O Ecuador
22;ARECACEAE;Attalea;Attalea maripa;(Aubl.) Mart.;Maximiliana maripa (Aubl.) Drude;Galeano 1991, Henderson 1995, Henderson et al. 1995;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Galeano 860 (COAH, COL, NY);;Amazonia, Guayana y Serranía de La Macarena, Orinoquia;40 m;600 m;Amazonas, Arauca, Caquetá, Casanare, Guainía, Guaviare, Meta, Putumayo, Vaupés, Vichada;N Suramérica al E Andes
23;ARECACEAE;Calyptrogyne;Calyptrogyne baudensis;A.J.Hend.;;Henderson 2005, Galeano & Bernal 2010;;Arbusto, Palma solitaria;Nativa;Casi Amenazada;Bernal 1753 (HT: COL);Tipo de Colombia;Pacífico;0 m;350 m;Chocó;NO Colombia
24;ARECACEAE;Calyptrogyne;Calyptrogyne costatifrons;(L.H.Bailey) de Nevers;;Henderson 2005, Galeano & Bernal 2010;Calyptrogyne costatifrons subsp. dariensis A.J.Hend.;Arbusto, Arbolito, Palma solitaria;Nativa;Vulnerable;Bernal 3020 (COL);;Pacífico;0 m;350 m;Chocó;C Panamá a NO Colombia
25;ARECACEAE;Caryota;Caryota urens;L.;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;0 m;2600 m;Antioquia, Cundinamarca, Quindío, Risaralda, Tolima, Valle;"India a Malasia; cultivada en los trópicos"
26;ARECACEAE;Ceroxylon;Ceroxylon alpinum;DC.;Ceroxylon ferrugineum Regel;Henderson et al. 1995, Galeano & Bernal 2005, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;En Peligro;Bernal 2320 (COL);Tipo de Colombia;Andes;1400 m;2000 m;Antioquia, Caldas, Cundinamarca, Quindío, Risaralda, Valle;Colombia, Venezuela
27;ARECACEAE;Ceroxylon;Ceroxylon ceriferum;(H.Karst.) Pittier;Ceroxylon schultzei Burret;Henderson et al. 1995, Galeano & Bernal 2010, Sanín & Galeano 2011;;Árbol, Palma solitaria;Nativa;En Peligro;Galeano 7584 (COL);;Andes, Sierra Nevada de Santa Marta;1900 m;2800 m;Cesar, La Guajira, Magdalena;Colombia y Venezuela
28;ARECACEAE;Ceroxylon;Ceroxylon quindiuense;(H.Karst.) H.Wendl.;Ceroxylon floccosum Burret;Galeano & Bernal 1983, Henderson et al. 1995, Galeano & Bernal 2005, Galeano & Bernal 2010, Sanín & Galeano 2011;;Árbol, Palma solitaria;Nativa;En Peligro;Bernal 53 (COL);Tipo de Colombia;Andes;1550 m;3100 m;Antioquia, Boyacá, Caldas, Caquetá, Cundinamarca, Meta, Norte de Santander, Putumayo, Quindío, Risaralda, Santander, Tolima, Valle;Colombia, O Venezuela, N Perú
29;ARECACEAE;Ceroxylon;Ceroxylon sasaimae;Galeano;;Henderson et al. 1995, Galeano & Bernal 2005, Galeano & Bernal 2010, Sanín & Galeano 2011, Bernal & Manrique 2012;;Árbol, Palma solitaria;Nativa;En Peligro;Galeano 686 (HT: COL);Tipo de Colombia;Andes;1350 m;1800 m;Antioquia, Cundinamarca;Cordilleras Central y Oriental
30;ARECACEAE;Ceroxylon;Ceroxylon ventricosum;Burret;;Henderson et al. 1995, Galeano & Bernal 2005, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;En Peligro;Bernal 2477 (COL);;Andes;1600 m;3000 m;Cauca, Nariño, Putumayo;Colombia y Ecuador
31;ARECACEAE;Ceroxylon;Ceroxylon vogelianum;(Engel) H.Wendl.;Ceroxylon flexuosum Galeano & R.Bernal, Ceroxylon hexandrum Dugand;Henderson et al. 1995, Galeano & Bernal 2010, Sanín & Galeano 2011;;Árbol, Palma solitaria;Nativa;Vulnerable;Bernal 566 (COL, HUA);Tipo de Colombia;Andes;1900 m;3000 m;Antioquia, Boyacá, Caldas, Caquetá, Cauca, Cundinamarca, Huila, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, Santander, Valle;Venezuela a Bolivia
